PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1642347,2024-25,00,1610612761,TOR,22.0,75,11,1467.0,204,504,0.405,72,223,0.323,53,69,0.768,30,85,115,316,58,10,117,158,533
1630534,2022-23,00,1610612762,UTA,23.0,59,22,1209.0,165,386,0.427,81,228,0.355,56,69,0.812,43,78,121,67,16,15,41,99,467
1630534,2023-24,00,1610612762,UTA,24.0,51,10,1003.0,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,27,29,34,66,274
1630534,2023-24,00,1610612761,TOR,24.0,27,18,638.0,72,184,0.391,15,69,0.217,22,36,0.611,39,51,90,36,20,15,30,51,181
1630534,2023-24,00,0,TOT,24.0,78,28,1642.0,178,433,0.411,62,211,0.294,37,56,0.661,74,142,216,83,47,44,64,117,455
1630534,2024-25,00,1610612761,TOR,25.0,64,45,1739.0,266,534,0.498,101,253,0.399,34,48,0.708,61,181,242,98,58,30,54,125,667
1642382,2024-25,00,1610612760,OKC,25.0,32,0,246.0,43,97,0.443,22,66,0.333,14,18,0.778,17,37,54,14,5,21,7,22,122
1642266,2024-25,00,1610612761,TOR,20.0,52,18,1103.0,159,393,0.405,65,186,0.349,66,83,0.795,59,101,160,81,43,10,50,95,449
1641711,2023-24,00,1610612761,TOR,20.0,60,17,1268.0,189,445,0.425,88,241,0.365,44,51,0.863,27,105,132,68,34,2,50,87,510
1641711,2024-25,00,1610612761,TOR,21.0,54,54,1587.0,265,647,0.41,114,326,0.35,133,155,0.858,44,149,193,98,48,10,83,120,777
