PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ID
202348,00,,281,99,6843,1286,3130,0.410862619808,330,1041,0.317002881844,530,642,0.825545171339,153,550,703,883,196,23,529,437,3432,0.0
1628402,00,,214,31,3873,656,1557,0.421323057161,247,743,0.332436069986,257,327,0.785932721712,82,310,392,222,84,16,169,311,1816,0.0
1627752,00,,582,344,14403,2042,4775,0.427643979057,988,2574,0.383838383838,673,830,0.810843373493,262,1829,2091,1005,475,224,803,1189,5745,0.0
1628381,00,,472,410,13738,2936,5380,0.545724907063,492,1356,0.362831858407,1189,1502,0.791611185086,1045,2760,3805,697,288,478,724,1436,7553,0.0
1627761,00,,296,55,5670,720,1519,0.473996050032,106,375,0.282666666666,204,334,0.610778443113,185,765,950,533,291,120,367,533,1750,0.0
203705,00,,26,0,254,20,61,0.327868852459,9,26,0.346153846153,9,10,0.9,3,22,25,62,11,2,14,20,58,0.0
203955,00,,23,0,198,33,79,0.417721518987,7,23,0.304347826086,15,18,0.833333333333,3,15,18,18,7,0,17,8,88,0.0
1627754,00,,7,0,24,3,13,0.230769230769,0,0,0.0,4,4,1.0,1,5,6,0,0,1,2,5,10,0.0
1628416,00,,107,16,1680,255,651,0.391705069124,117,333,0.351351351351,83,124,0.669354838709,45,200,245,135,31,7,64,116,710,0.0
201967,00,,715,195,14875,1772,3777,0.46915541435,216,626,0.345047923322,373,575,0.648695652173,804,1872,2676,506,459,336,352,1227,4133,0.0
200784,00,,91,7,865,103,233,0.442060085836,19,62,0.306451612903,63,92,0.684782608695,51,98,149,44,26,4,46,144,288,0.0
201965,00,,237,15,2322,287,519,0.552986512524,2,5,0.4,114,147,0.775510204081,196,436,632,99,37,66,132,360,690,0.0
201242,00,,20,0,142,18,59,0.305084745762,7,35,0.2,2,6,0.333333333333,3,8,11,3,4,1,7,8,45,0.0
201573,00,,586,99,12484,1719,4180,0.411244019138,499,1382,0.361070911722,972,1188,0.818181818181,176,1059,1235,1674,370,73,825,1206,4909,0.0
200817,00,,62,1,858,106,259,0.409266409266,6,30,0.2,37,41,0.90243902439,9,61,70,162,29,2,51,54,255,0.0
2782,00,0,42,11,588.0,53,181,0.292817,17,76,0.223684,10,14,0.714285,24,61,85,27,16,3,20,53,133,
201988,00,,921,112,18315,2855,6742,0.423464847226,1546,4012,0.385343968095,748,873,0.856815578465,268,1223,1491,2010,581,80,861,1164,8004,0.0
201193,00,,18,0,58,9,32,0.28125,3,15,0.2,1,2,0.5,0,7,7,2,0,4,4,5,22,0.0
200781,00,,82,2,701,88,219,0.401826484018,0,1,0.0,41,56,0.732142857142,74,84,158,32,22,15,30,105,217,0.0
200753,00,,90,3,523,79,160,0.49375,0,3,0.0,28,48,0.583333333333,32,95,127,25,18,40,42,126,186,0.0
201942,00,,1187,1175,41227,9064,19315,0.469272586073,615,2047,0.300439667806,6549,7778,0.84199022885,835,4373,5208,4869,1170,393,2379,2659,25292,0.0
200763,00,,143,0,1536,222,571,0.388791593695,68,218,0.311926605504,76,86,0.883720930232,34,118,152,93,50,21,87,128,588,0.0
201605,00,,45,2,430,50,115,0.434782608695,0,1,0.0,26,38,0.684210526315,50,56,106,24,10,9,29,61,126,0.0
2470,00,,274,183,7068,908,2129,0.426491310474,289,838,0.344868735083,364,514,0.708171206225,119,540,659,791,336,44,496,606,2469,0.0
200811,00,,428,42,5506,648,1368,0.473684210526,0,3,0.0,268,603,0.444444444444,644,897,1541,190,152,306,299,835,1564,0.0
201152,00,,1172,726,33013,6143,12202,0.503442058678,522,1593,0.327683615819,1417,2143,0.66122258516,2296,4318,6614,2135,1612,458,1641,2486,14225,0.0
201160,00,,616,104,10028,1572,3360,0.467857142857,84,252,0.333333333333,549,701,0.783166904422,656,1419,2075,453,208,408,507,1337,3777,0.0
200760,00,,299,48,4598,675,1599,0.422138836772,200,591,0.338409475465,228,324,0.703703703703,164,424,588,132,159,100,157,420,1778,0.0
101150,00,,1123,122,27102,5047,12045,0.41901203819,1457,4146,0.351423058369,4042,4803,0.841557359983,431,2053,2484,3789,952,192,1896,1439,15593,0.0
201182,00,,2,0,36,3,11,0.272727272727,0,6,0.0,4,4,1.0,6,5,11,1,2,0,0,2,10,0.0
101183,00,,146,7,1203,129,287,0.449477351916,1,6,0.166666666666,81,149,0.543624161073,151,212,363,36,44,38,59,193,340,0.0
201169,00,,51,1,425,77,182,0.423076923076,10,34,0.294117647058,47,60,0.783333333333,29,20,49,16,5,2,19,22,211,0.0
2776,00,,76,29,879,79,190,0.415789473684,0,0,0.0,61,90,0.677777777777,78,136,214,12,34,24,41,166,219,0.0
201199,00,,33,0,270,29,92,0.315217391304,6,25,0.24,9,19,0.473684210526,9,19,28,30,12,6,11,36,73,0.0
2684,00,0,16,0,113.0,16,33,0.484848,2,3,0.666666,7,10,0.7,4,19,23,3,5,0,8,20,41,
2214,00,,173,13,2013,218,457,0.477024070021,2,14,0.142857142857,45,88,0.511363636363,223,368,591,93,25,47,113,200,483,0.0
2556,00,,348,37,5565,741,1715,0.432069970845,125,382,0.32722513089,454,591,0.768189509306,100,419,519,728,266,57,436,674,2061,0.0
1629152,00,0,7,0,22.0,3,10,0.3,0,4,0.0,1,2,0.5,1,3,4,6,2,0,2,4,7,
1630552,00,,184,94,4335,810,1607,0.504044803982,148,458,0.323144104803,255,358,0.712290502793,189,966,1155,470,164,119,257,322,2023,0.0
203961,00,,83,3,898,73,136,0.536764705882,1,1,1.0,13,33,0.393939393939,88,222,310,83,32,56,49,130,160,0.0
1630219,00,,105,16,1111,173,389,0.44473007712,50,145,0.344827586206,55,64,0.859375,27,95,122,182,48,7,49,61,451,0.0
1630639,00,,83,2,905,156,355,0.439436619718,56,176,0.318181818181,60,94,0.63829787234,40,117,157,53,25,9,32,77,428,0.0
1629678,00,,131,3,1372,154,369,0.417344173441,75,230,0.326086956521,43,55,0.781818181818,50,165,215,78,21,14,49,178,426,0.0
1629602,00,0,1,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,
1628395,00,,161,17,1937,257,466,0.551502145922,4,20,0.2,75,118,0.635593220338,153,344,497,201,62,122,118,200,593,0.0
1630536,00,,13,0,38,3,14,0.214285714285,1,6,0.166666666666,0,0,0.0,0,5,5,5,0,0,5,1,7,0.0
1629725,00,,18,0,174,33,86,0.383720930232,8,30,0.266666666666,12,19,0.631578947368,3,14,17,22,12,4,10,8,86,0.0
1629644,00,,98,12,965,85,208,0.408653846153,28,98,0.285714285714,24,36,0.666666666666,40,108,148,47,23,26,28,125,222,0.0
1630209,00,,113,24,1334,245,458,0.534934497816,9,42,0.214285714285,62,95,0.652631578947,165,360,525,80,27,40,82,152,561,0.0
1629622,00,,309,156,7883,1129,2645,0.426843100189,709,1926,0.368120456905,242,298,0.812080536912,198,859,1057,728,171,71,301,600,3209,0.0
1630610,00,0,10,0,150.0,17,50,0.34,4,13,0.307692,5,11,0.454545,8,36,44,26,6,2,9,14,43,
1630606,00,,18,1,200,19,60,0.316666666666,8,27,0.296296296296,5,6,0.833333333333,5,19,24,16,6,3,11,12,51,0.0
