GAME_ID,GAME_DATE,SEASON_ID
1521400041,2014-07-16,2014-15
1521400044,2014-07-16,2014-15
1521400040,2014-07-16,2014-15
1521400037,2014-07-16,2014-15
1521400047,2014-07-17,2014-15
1521400050,2014-07-17,2014-15
1521400046,2014-07-17,2014-15
1521400052,2014-07-17,2014-15
1521400049,2014-07-17,2014-15
1521400045,2014-07-17,2014-15
1521400051,2014-07-17,2014-15
1521400048,2014-07-17,2014-15
1521400060,2014-07-18,2014-15
1521400059,2014-07-18,2014-15
1521400053,2014-07-18,2014-15
1521400056,2014-07-18,2014-15
1521400054,2014-07-18,2014-15
1521400055,2014-07-18,2014-15
1521400057,2014-07-18,2014-15
1521400058,2014-07-18,2014-15
1521400062,2014-07-19,2014-15
1521400063,2014-07-19,2014-15
1521400061,2014-07-19,2014-15
1521400064,2014-07-19,2014-15
1521400065,2014-07-20,2014-15
1521400066,2014-07-20,2014-15
1521400067,2014-07-21,2014-15
1521500003,2015-07-10,2015-16
1521500006,2015-07-10,2015-16
1521500001,2015-07-10,2015-16
1521500005,2015-07-10,2015-16
1521500004,2015-07-10,2015-16
1521500002,2015-07-10,2015-16
1521500011,2015-07-11,2015-16
1521500013,2015-07-11,2015-16
1521500007,2015-07-11,2015-16
1521500010,2015-07-11,2015-16
1521500012,2015-07-11,2015-16
1521500014,2015-07-11,2015-16
1521500008,2015-07-11,2015-16
1521500009,2015-07-11,2015-16
1521500020,2015-07-12,2015-16
1521500022,2015-07-12,2015-16
1521500017,2015-07-12,2015-16
1521500021,2015-07-12,2015-16
1521500019,2015-07-12,2015-16
1521500016,2015-07-12,2015-16
1521500018,2015-07-12,2015-16
1521500015,2015-07-12,2015-16
1521500025,2015-07-13,2015-16
1521500023,2015-07-13,2015-16
1521500024,2015-07-13,2015-16
1521500027,2015-07-13,2015-16
1521500026,2015-07-13,2015-16
1521500029,2015-07-13,2015-16
1521500028,2015-07-13,2015-16
1521500030,2015-07-13,2015-16
1521500035,2015-07-14,2015-16
1521500033,2015-07-14,2015-16
1521500032,2015-07-14,2015-16
1521500034,2015-07-14,2015-16
1521500036,2015-07-14,2015-16
1521500031,2015-07-14,2015-16
1521500039,2015-07-15,2015-16
1521500043,2015-07-15,2015-16
1521500042,2015-07-15,2015-16
1521500040,2015-07-15,2015-16
1521500037,2015-07-15,2015-16
1521500044,2015-07-15,2015-16
1521500038,2015-07-15,2015-16
1521500041,2015-07-15,2015-16
1521500050,2015-07-16,2015-16
1521500052,2015-07-16,2015-16
1521500049,2015-07-16,2015-16
1521500051,2015-07-16,2015-16
1521500047,2015-07-16,2015-16
1521500046,2015-07-16,2015-16
1521500045,2015-07-16,2015-16
1521500048,2015-07-16,2015-16
1521500055,2015-07-17,2015-16
1521500059,2015-07-17,2015-16
1521500053,2015-07-17,2015-16
1521500056,2015-07-17,2015-16
1521500054,2015-07-17,2015-16
1521500058,2015-07-17,2015-16
1521500057,2015-07-17,2015-16
1521500060,2015-07-17,2015-16
1521500062,2015-07-18,2015-16
1521500061,2015-07-18,2015-16
1521500064,2015-07-18,2015-16
1521500063,2015-07-18,2015-16
1521500065,2015-07-19,2015-16
1521500066,2015-07-19,2015-16
1521500067,2015-07-20,2015-16
1521600002,2016-07-08,2016-17
1521600001,2016-07-08,2016-17
1521600006,2016-07-08,2016-17
1521600005,2016-07-08,2016-17
1521600003,2016-07-08,2016-17
1521600004,2016-07-08,2016-17
1521600008,2016-07-09,2016-17
1521600011,2016-07-09,2016-17
1521600010,2016-07-09,2016-17
1521600009,2016-07-09,2016-17
1521600014,2016-07-09,2016-17
1521600013,2016-07-09,2016-17
1521600007,2016-07-09,2016-17
1521600012,2016-07-09,2016-17
1521600015,2016-07-10,2016-17
1521600022,2016-07-10,2016-17
1521600017,2016-07-10,2016-17
1521600021,2016-07-10,2016-17
1521600020,2016-07-10,2016-17
1521600019,2016-07-10,2016-17
1521600016,2016-07-10,2016-17
1521600018,2016-07-10,2016-17
1521600027,2016-07-11,2016-17
1521600029,2016-07-11,2016-17
1521600026,2016-07-11,2016-17
1521600028,2016-07-11,2016-17
1521600025,2016-07-11,2016-17
1521600030,2016-07-11,2016-17
1521600024,2016-07-11,2016-17
1521600023,2016-07-11,2016-17
1521600032,2016-07-12,2016-17
1521600033,2016-07-12,2016-17
1521600036,2016-07-12,2016-17
1521600035,2016-07-12,2016-17
1521600031,2016-07-12,2016-17
1521600034,2016-07-12,2016-17
1521600037,2016-07-13,2016-17
1521600041,2016-07-13,2016-17
1521600038,2016-07-13,2016-17
1521600043,2016-07-13,2016-17
1521600044,2016-07-13,2016-17
1521600039,2016-07-13,2016-17
1521600040,2016-07-13,2016-17
